bloc	type	nom	url	pays	canal_contact	contact	signal	date_signal	pertinence	preuve
JOB_BOARD	JOBBOARD	Indeed France — n8n	https://fr.indeed.com/q-n8n-emplois.html	FR	COMPTE_REQUIS	NON_PUBLIC	Resultats domines par postes internes editeur n8n GmbH remote	2026-08-19	3	Head of Product Design n8n Remote France 125000-236400 EUR
JOB_BOARD	JOBBOARD	Indeed Belgique — n8n	https://emplois.be.indeed.com/q-n8n-emplois.html	BE	COMPTE_REQUIS	NON_PUBLIC	9 offres toutes chez editeur n8n remote Belgium	2026-08-19	3	9 annonces n8n remote Belgium avec salaires affiches
JOB_BOARD	JOBBOARD	Welcome to the Jungle — n8n	https://www.welcometothejungle.com/fr/jobs?query=n8n	FR	CANDIDATURE_DIRECTE	NON_PUBLIC	Concentre scale-ups FR recrutant sur n8n Make Zapier, SPA non scrapable	INCONNU	4	10 fiches n8n identifiees, page SPA sans resultats en HTML brut
JOB_BOARD	JOBBOARD	jobup.ch — n8n Suisse romande	https://www.jobup.ch/fr/emplois/?term=n8n	CH	COMPTE_REQUIS	NON_PUBLIC	6 offres, board le plus lisible pour Vaud Geneve	2026-08-19	4	6 resultats Acces Personnel EPFL Neho yellowshark SonarSource
JOB_BOARD	JOBBOARD	n8n Community — categorie Jobs	https://community.n8n.io/c/jobs/13	INT	COMPTE_REQUIS	NON_PUBLIC	30 sujets page 1 dont 10 en aout 2026, API JSON publique exploitable	2026-08-19	5	Flux JSON c/jobs/13.json avec created_at exact
JOB_BOARD	JOBBOARD	Himalayas — remote n8n	https://himalayas.app/jobs/n8n	INT	CANDIDATURE_DIRECTE	NON_PUBLIC	21 offres remote taguees n8n, salaires sur la moitie	2026-08-19	4	21 annonces avec dates relatives et fourchettes
JOB_BOARD	JOBBOARD	RemoteOK — n8n	https://remoteok.com/remote-n8n-jobs	INT	CANDIDATURE_DIRECTE	NON_PUBLIC	200 OK mais contenu JS, API publique sans aucune offre n8n	2026-08-19	1	API 101 entrees 0 correspondance n8n automation workflow
JOB_BOARD	JOBBOARD	We Work Remotely — n8n	https://weworkremotely.com/remote-jobs/search?term=n8n	INT	CANDIDATURE_DIRECTE	NON_PUBLIC	Zero resultat sur n8n, board non pertinent	2026-08-19	1	There arent any jobs that match your search
JOB_BOARD	JOBBOARD	aijobs.net — moteur IA/ML	https://aijobs.net/?search=n8n	INT	CANDIDATURE_DIRECTE	NON_PUBLIC	48152 offres mais parametre search non applique cote serveur	2026-08-19	2	Resultats affiches sans lien avec n8n
JOB_BOARD	JOBBOARD	Jobboom — Quebec	https://www.jobboom.com/fr/recherche-emploi?keywords=n8n	CA	COMPTE_REQUIS	NON_PUBLIC	2828 offres mais filtre mot-cle non applique	2026-08-19	1	Memes 2828 resultats non filtres sur deux syntaxes
JOB_BOARD	OFFRE	Architecte et expert technique IA et DATA — VISIAN	https://www.free-work.com/fr/tech-it/job-mission/expert-e-protection-donnees/architecte-expert-technique-ia-data	FR	COMPTE_REQUIS	NON_PUBLIC	Mission freelance Paris 600-800 EUR/j 1 an renouvelable, TJM au-dessus de la cible	2026-07-21	5	Mise en place Workflow N8N, competences n8n BigQuery DBT SQL DevSecOps
JOB_BOARD	OFFRE	Ingenieur Orchestration et Automatisation Reseau — CELAD	https://www.free-work.com/fr/tech-it/job-mission/ingenieur-apres-vente/ingenieur-orchestration-et-automatisation-reseau-h-f	FR	COMPTE_REQUIS	NON_PUBLIC	Mission freelance TOULOUSE 360-420 EUR/j, seule mission n8n freelance Toulouse mais TJM sous la cible	2026-07-31	5	Outils Itential n8n Ansible Python Node.js
JOB_BOARD	OFFRE	Architecte IA / MLOps Toulouse — Talents Finance	https://www.free-work.com/fr/tech-it/job-mission/architecte-de-base-de-donnees/architecte-ia-mlops-toulouse-freelance	FR	COMPTE_REQUIS	NON_PUBLIC	Mission freelance Toulouse 570-800 EUR/j 6 mois, TJM pile dans la cible	2026-08-13	4	Architecte IA MLOps Toulouse Talents Finance 570-800 EUR 6 mois
JOB_BOARD	OFFRE	Ingenieur MLOps / AI Engineer — ABSIS CONSEIL	https://www.free-work.com/fr/tech-it/job-mission/ingenieur-apres-vente/ingenieur-mlops-ai-engineer	FR	COMPTE_REQUIS	NON_PUBLIC	Mission freelance Paris 580-630 EUR/j 1 an, TJM dans la cible	2026-07-30	4	Ingenieur MLOps AI Engineer ABSIS Paris 580-630 EUR
JOB_BOARD	OFFRE	Ingenieur DevOps Automation et Observability — LeHibou	https://www.free-work.com/fr/tech-it/job-mission/ingenieur-devops-cloud/ingenieur-devops-automation-observability	FR	COMPTE_REQUIS	NON_PUBLIC	Mission freelance 675 EUR/j, recoupe Docker et supervision Grafana Prometheus Loki	2026-07-28	4	Ingenieur DevOps Automation Observability LeHibou 675 EUR/j
JOB_BOARD	OFFRE	Data Scientist evaluation des LLMs — ISUPPLIER	https://www.free-work.com/fr/tech-it/job-mission/data-scientist/data-scientist-specialise-dans-levaluation-des-llms	FR	COMPTE_REQUIS	NON_PUBLIC	Mission freelance IDF 400-550 EUR/j 100 jours	2026-08-17	3	ISUPPLIER 400-550 EUR 100 jours
JOB_BOARD	OFFRE	Responsable Application SaaS et Site Web — ADSearch	https://www.free-work.com/fr/tech-it/job-mission/administrateur-web/responsable-application-saas-et-site-web-h-f	FR	COMPTE_REQUIS	NON_PUBLIC	CDI Valbonne 40-50 kEUR/an, tres en dessous de l equivalent TJM cible	2026-08-06	4	Developper des automatisations via API Make Zapier ou N8N
JOB_BOARD	OFFRE	Ingenieur Systeme et Reseau — Orviden	https://www.free-work.com/fr/tech-it/job-mission/administrateur-systeme-linux/ingenieur-systeme-reseau-40	FR	COMPTE_REQUIS	NON_PUBLIC	CDI Massy, stack VMware Ansible Terraform n8n	2026-08-02	3	Technologies VMware Ansible Terraform n8n Active Directory Azure
JOB_BOARD	OFFRE	Engineer Automation et Agents — Veilos	https://www.hellowork.com/fr-fr/emplois/81683542.html	FR	COMPTE_REQUIS	NON_PUBLIC	Freelance Paris Bordeaux, 4 jours sur site par semaine, presentiel lourd incompatible full remote	2026-07-24	4	Des agents sont deja en production notamment via Dust n8n et LangChain
JOB_BOARD	OFFRE	Developpeur IA Generative Senior Expert LLM — Espace Freelance	https://www.hellowork.com/fr-fr/emplois/82072053.html	FR	COMPTE_REQUIS	NON_PUBLIC	Independant freelance Paris, TJM non affiche	2026-08-05	4	Developper et orchestrer des workflows via Langflow n8n ou equivalent
JOB_BOARD	OFFRE	Technology Partnership Manager — Shippingbo	https://www.hellowork.com/fr-fr/emplois/81735627.html	FR	COMPTE_REQUIS	NON_PUBLIC	CDI TOULOUSE 30700-53800 EUR/an, poste partenariats pas ingenierie	2026-07-27	3	Appetence ou maitrise d outils automation no-code n8n scripts IA
JOB_BOARD	OFFRE	Senior Automation et Process Lead Product — Believe	https://www.hellowork.com/fr-fr/emplois/81171095.html	FR	COMPTE_REQUIS	NON_PUBLIC	CDI Paris, poste lead automatisation produit	2026-08-10	3	Remonte sur le mot-cle n8n, carte HelloWork il y a 9 jours
JOB_BOARD	OFFRE	Architecte Agentic AI — Inetum	https://www.hellowork.com/fr-fr/emplois/80957527.html	FR	COMPTE_REQUIS	NON_PUBLIC	CDI Saint-Ouen-sur-Seine, ESN architecture agents IA	2026-08-03	3	Carte HelloWork Architecte Agentic ai Inetum CDI il y a 16 jours
JOB_BOARD	OFFRE	Product Builder AI — Hymaia	https://www.hellowork.com/fr-fr/emplois/80994798.html	FR	COMPTE_REQUIS	NON_PUBLIC	CDI Paris 3e 48000-65000 EUR/an	2026-08-06	3	Carte HelloWork Product Builder ai Hymaia Paris CDI
JOB_BOARD	OFFRE	Developpeur IA — Actua	https://www.hellowork.com/fr-fr/emplois/81639850.html	FR	COMPTE_REQUIS	NON_PUBLIC	CDI Val-de-Moder 50000-75000 EUR/an, meilleure fourchette CDI du lot	2026-07-25	2	Carte HelloWork Developpeur IA Actua CDI 50000-75000
JOB_BOARD	OFFRE	AI Automation Engineer — C12	https://fr.linkedin.com/jobs/view/ai-automation-engineer-at-c12-4455535327	FR	COMPTE_REQUIS	NON_PUBLIC	Paris 46000-50000 EUR/an, mention explicite endpoints LLM self-hosted alignement direct Ollama LM Studio	2026-08-18	5	Experience with Prefect LangGraph n8n that can integrate with self-hosted LLM endpoints
JOB_BOARD	OFFRE	Low-Code Product Builder — OTOQI	https://fr.linkedin.com/jobs/view/low-code-product-builder-h-f-at-otoqi-4394433858	FR	COMPTE_REQUIS	NON_PUBLIC	Paris hybride, n8n a l echelle avec retry logging alerting	2026-08-15	5	Concevoir et maintenir des workflows a grande echelle sur n8n avec retry logging alerting
JOB_BOARD	OFFRE	AI et Ops Automation — Pennylane	https://fr.linkedin.com/jobs/view/ai-ops-automation-at-pennylane-4407458746	FR	COMPTE_REQUIS	NON_PUBLIC	Paris, politique remote non precisee	2026-08-16	5	Tu buildes des flows d automatisation multi-outils avec des agents IA Dust N8N Notion
JOB_BOARD	OFFRE	Automation Specialist n8n Expert — Jobgether	https://fr.linkedin.com/jobs/view/automation-specialist-n8n-expert-at-jobgether-4452378903	FR	COMPTE_REQUIS	NON_PUBLIC	100 pourcent remote France, agregateur donc employeur final masque	2026-08-13	5	Build configure and maintain advanced n8n workflows
JOB_BOARD	OFFRE	Senior Automation Specialist — Jobgether	https://fr.linkedin.com/jobs/view/senior-automation-specialist-at-jobgether-4452560612	FR	COMPTE_REQUIS	NON_PUBLIC	Remote France, employeur final masque, mention n8n NON VERIFIEE	2026-08-18	4	Carte LinkedIn Senior Automation Specialist Jobgether France 1 day ago
JOB_BOARD	OFFRE	AI Integrator — Jobgether	https://fr.linkedin.com/jobs/view/ai-integrator-at-jobgether-4454785175	FR	COMPTE_REQUIS	NON_PUBLIC	Remote France publiee le jour du releve, mention n8n NON VERIFIEE	2026-08-19	4	Carte LinkedIn AI Integrator Jobgether France 5 hours ago
JOB_BOARD	OFFRE	Junior Automation Specialist — Gulf Associates	https://fr.linkedin.com/jobs/view/junior-automation-specialist-at-gulf-associates-4454701741	FR	COMPTE_REQUIS	NON_PUBLIC	Paris junior, sous-calibre mais signale un besoin d equipe automatisation	2026-08-18	2	Carte LinkedIn Junior Automation Specialist Paris 20 hours ago
JOB_BOARD	OFFRE	Specialiste Agents IA et Automatisation — Ponera	https://fr.linkedin.com/jobs/view/sp%C3%A9cialiste-agents-ia-automatisation-h-f-at-ponera-4455317541	FR	COMPTE_REQUIS	NON_PUBLIC	CDI Prouvy 59, ATTENTION n8n absent du texte l annonce ne cite qu OpenAI Claude	2026-08-18	2	Aucune occurrence de n8n, remonte par proximite semantique
JOB_BOARD	OFFRE	Compliance Ops Builder — Alan Toulouse	https://fr.linkedin.com/jobs/view/compliance-ops-builder-at-alan-4450728494	FR	COMPTE_REQUIS	NON_PUBLIC	Poste Ops Toulouse, Alan full-remote par defaut	INCONNU	3	Carte LinkedIn 1 week ago, mention n8n NON VERIFIEE
JOB_BOARD	OFFRE	Finance Transformation Analyst AI Automation — Numberly	https://fr.linkedin.com/jobs/view/finance-transformation-analyst-ai-automation-at-numberly-4443867412	FR	COMPTE_REQUIS	NON_PUBLIC	Paris profil finance, eloigne du coeur technique	2026-08-15	2	Carte LinkedIn 4 days ago, mention n8n NON VERIFIEE
JOB_BOARD	OFFRE	Business Analyst IA — CNAM	https://fr.linkedin.com/jobs/view/business-analyst-ia-h-f-at-cnam-4452946184	FR	COMPTE_REQUIS	NON_PUBLIC	Paris secteur public, contexte hebergement souverain RGPD porteur	2026-08-14	2	Carte LinkedIn 5 days ago, mention n8n NON VERIFIEE
JOB_BOARD	OFFRE	No Code AI Automation Engineer n8n make zapier — Stockly	https://www.welcometothejungle.com/en/companies/stockly/jobs/no-code-ai-automation-engineer_paris	FR	CANDIDATURE_DIRECTE	NON_PUBLIC	CDI Paris, n8n nomme dans l intitule meme du poste	INCONNU	5	Intitule exact No Code AI Automation Engineer n8n make zapier, page en 403
JOB_BOARD	OFFRE	Ops et Automations Specialist — Skill and You	https://www.welcometothejungle.com/fr/companies/skill-and-you/jobs/ops-automations-specialist-h-f-levallois-perret_levallois-perret	FR	CANDIDATURE_DIRECTE	NON_PUBLIC	CDI Levallois-Perret, n8n annonce comme obligatoire	INCONNU	5	Premiere experience avec outils no-code low-code n8n obligatoire
JOB_BOARD	OFFRE	Automation Developer Integrateur API — Miralia	https://www.welcometothejungle.com/fr/companies/miralia/jobs/automation-developer-integrateur-rice-api_paris_MEG_PDj49pW	FR	CANDIDATURE_DIRECTE	NON_PUBLIC	CDI Paris, integrateur API recoupe les connecteurs sur systemes fermes	INCONNU	4	Experience avec plateformes automatisation n8n Make Zapier
JOB_BOARD	OFFRE	Product Builder — Wivoo a Wavestone company	https://www.welcometothejungle.com/fr/companies/wigroup/jobs/ai-product-builder-automation-mvp-tech_paris	FR	CANDIDATURE_DIRECTE	NON_PUBLIC	CDI Paris filiale Wavestone, orchestration workflows	INCONNU	4	Orchestre des workflows sur Make n8n ou Zapier
JOB_BOARD	OFFRE	AI Growth Engineer Marketing B2B — On train	https://www.welcometothejungle.com/fr/companies/on-train/jobs/ai-growth-engineer-marketing-b2b_paris	FR	CANDIDATURE_DIRECTE	NON_PUBLIC	CDI Paris orientation growth marketing	INCONNU	3	Concevoir et deployer des automatisations marketing et sales Make n8n API
JOB_BOARD	OFFRE	Consultant HubSpot — Mi4	https://www.welcometothejungle.com/fr/companies/mi4/jobs/consultant-hubspot_valbonne	FR	CANDIDATURE_DIRECTE	NON_PUBLIC	CDI Valbonne agence, automatisation low-code en appui	INCONNU	2	Participer au deploiement d automatisations low-code Make ou N8N
JOB_BOARD	OFFRE	Freelance Low-code Automation Developer — Hived	https://be.linkedin.com/jobs/view/freelance-low-code-automation-developer-at-hived-4448768444	BE	COMPTE_REQUIS	NON_PUBLIC	FREELANCE Region flamande, seule mission explicitement freelance + n8n en Belgique	INCONNU	5	Minimaal 2 jaar ervaring met n8n of soortgelijke low-code automation platforms
JOB_BOARD	OFFRE	Automation Specialist n8n Expert — Jobgether Belgique	https://be.linkedin.com/jobs/view/automation-specialist-n8n-expert-at-jobgether-4452702191	BE	COMPTE_REQUIS	NON_PUBLIC	Remote Belgique, intitule n8n Expert explicite	2026-08-13	5	Carte LinkedIn Automation Specialist n8n Expert Jobgether Belgium
JOB_BOARD	OFFRE	AI et AUTOMATION ENGINEER Liege — GAMING1	https://be.linkedin.com/jobs/view/ai-automation-engineer-liege-belgium-at-gaming1-4447219331	BE	COMPTE_REQUIS	NON_PUBLIC	Liege Wallonie zone francophone, mention n8n NON VERIFIEE	INCONNU	3	Carte LinkedIn GAMING1 Liege Walloon Region 2 weeks ago
JOB_BOARD	OFFRE	GenAI Automation Expert — Orange	https://be.linkedin.com/jobs/view/genai-automation-expert-at-orange-4450356159	BE	COMPTE_REQUIS	NON_PUBLIC	Bruxelles grand compte telecom, contexte souverainete RGPD favorable	INCONNU	3	Carte LinkedIn Orange Brussels 1 week ago, n8n NON VERIFIEE
JOB_BOARD	OFFRE	AI et automation builder — Dicar Motorhomes	https://be.linkedin.com/jobs/view/ai-automation-builder-at-dicar-motorhomes-4447125262	BE	COMPTE_REQUIS	NON_PUBLIC	Geel Flandre, PME industrielle internalisant l automatisation IA	INCONNU	3	Carte LinkedIn Dicar Motorhomes Geel 2 weeks ago
JOB_BOARD	OFFRE	AI et Automation Engineer Business Processes — DHEH	https://ch.linkedin.com/jobs/view/ai-automation-engineer-at-dheh-4455962377	CH	COMPTE_REQUIS	NON_PUBLIC	Lausanne Lonay Vaud, publiee le jour du releve, zone francophone	2026-08-19	5	Idealement une experience avec Make n8n ou une autre plateforme d automatisation
JOB_BOARD	OFFRE	Automation Specialist n8n Expert — Jobgether Suisse	https://ch.linkedin.com/jobs/view/automation-specialist-n8n-expert-at-jobgether-4452701256	CH	COMPTE_REQUIS	NON_PUBLIC	Remote Suisse, intitule n8n Expert explicite	2026-08-13	5	Carte LinkedIn Jobgether Switzerland 6 days ago
JOB_BOARD	OFFRE	AI Product Engineer — Neho	https://ch.linkedin.com/jobs/view/ai-product-engineer-at-neho-4452402573	CH	COMPTE_REQUIS	NON_PUBLIC	Lausanne Vaud CDI, doublement sourcee LinkedIn et jobup	2026-08-16	3	Carte LinkedIn 1 week ago et jobup Neho Lausanne Permanent
JOB_BOARD	OFFRE	Marketing AI Engineer — SonarSource	https://www.jobup.ch/fr/emplois/detail/37c9c47c-14d7-4cf1-8e1e-ba3e7c283bbc	CH	COMPTE_REQUIS	NON_PUBLIC	Geneve temps plein, remonte sur le mot-cle n8n	INCONNU	3	Carte jobup Marketing AI Engineer SonarSource Geneva il y a 3 semaines
JOB_BOARD	OFFRE	Charge de mission IA Admin — EPFL	https://www.jobup.ch/fr/emplois/detail/d856e7f2-00bf-40bb-8b91-5d34cf925e4c	CH	COMPTE_REQUIS	NON_PUBLIC	Lausanne contrat temporaire, institution publique contexte souverainete	INCONNU	3	Carte jobup Charge de mission IA Admin EPFL Lausanne Temporary
JOB_BOARD	OFFRE	Digitalisierungsspezialist — yellowshark AG	https://www.jobup.ch/fr/emplois/detail/bf37a680-f6e0-47fa-8c60-6007f549063f	CH	COMPTE_REQUIS	NON_PUBLIC	Horgen Zurich CDI, germanophone	INCONNU	2	Carte jobup yellowshark Horgen Permanent il y a 4 semaines
JOB_BOARD	OFFRE	AI et Business Transformation Specialist — SECO Luxembourg	https://lu.linkedin.com/jobs/view/ai-business-transformation-specialist-at-seco-luxembourg-4454770892	LU	COMPTE_REQUIS	NON_PUBLIC	Bertrange republiee le jour du releve	2026-08-19	3	Carte LinkedIn SECO Luxembourg Bertrange 13 hours ago
JOB_BOARD	OFFRE	Intelligent Automation Agentic AI Engineer UiPath — Deloitte Luxembourg	https://lu.linkedin.com/jobs/view/intelligent-automation-agentic-ai-engineer-uipath-at-deloitte-4446643679	LU	COMPTE_REQUIS	NON_PUBLIC	Luxembourg oriente UiPath RPA proprietaire, eloigne du self-hosted	INCONNU	2	Carte LinkedIn Deloitte Luxembourg 2 weeks ago
JOB_BOARD	OFFRE	Stage en Automatisation N8N et IA — 8P Design	https://ca.indeed.com/viewjob?jk=9e52416d650a8fcb	CA	COMPTE_REQUIS	NON_PUBLIC	Montreal stage temps plein, n8n dans l intitule mais format stage inadapte	INCONNU	3	Batir et configurer des agents automatises avec n8n
JOB_BOARD	OFFRE	SW Developer Business Systems et Automation — Really Great Reading	https://ca.linkedin.com/jobs/view/sw-developer-business-systems-automation-quebec-canada-at-really-great-reading-4446379591	CA	COMPTE_REQUIS	NON_PUBLIC	Quebec intitule bilingue, automatisation systemes d entreprise	INCONNU	3	Carte LinkedIn 3 weeks ago, mention n8n NON VERIFIEE
JOB_BOARD	OFFRE	Seeking n8n GHL Automation Developer Insurance Lead Pipeline	https://community.n8n.io/t/seeking-n8n-ghl-automation-developer-insurance-lead-pipeline-ai-agents-ongoing/307744	INT	COMPTE_REQUIS	NON_PUBLIC	Mission recurrente Ongoing remote, contact par message sur le forum officiel	2026-08-15	5	created_at exact du flux JSON officiel community.n8n.io
JOB_BOARD	OFFRE	AI and CRM Implementation Consultant Partner Coach Remote 6000 usd/mo	https://community.n8n.io/t/hiring-ai-and-crm-implementation-consultant-partner-coach-remote-6-000-mo/307267	INT	COMPTE_REQUIS	NON_PUBLIC	Remote mondial budget 6000 USD/mois soit environ 300 EUR/j sous la cible	2026-08-12	4	Budget annonce dans l intitule, created_at du flux JSON officiel
JOB_BOARD	OFFRE	Hiring Node Typescript Dev — community n8n	https://community.n8n.io/t/hiring-node-typescript-dev/307132	INT	COMPTE_REQUIS	NON_PUBLIC	Remote developpement de noeuds n8n en Node TypeScript, recoupe expertise connecteurs	2026-08-11	4	created_at exact du flux JSON officiel community.n8n.io
JOB_BOARD	OFFRE	Freiberuflicher n8n-Entwickler komplexe Workflow-Automatisierung	https://community.n8n.io/t/freiberuflicher-n8n-entwickler-m-w-d-gesucht-komplexe-workflow-automatisierung/302210	INT	COMPTE_REQUIS	NON_PUBLIC	Freelance germanophone, annonce de juillet statut a reverifier	2026-07-06	4	created_at exact du flux JSON officiel, anciennete 6 semaines
JOB_BOARD	OFFRE	OpenClaw + VPS person paid trial ongoing work	https://community.n8n.io/t/hiring-openclaw-vps-person-paid-trial-task-ongoing-work-remote-any-timezone/299185	INT	COMPTE_REQUIS	NON_PUBLIC	Remote tous fuseaux VPS et self-hosting, tres proche de la stack Docker souveraine	2026-06-12	4	created_at exact du flux JSON officiel community.n8n.io
JOB_BOARD	OFFRE	N8N Developer — CloudSmiths	https://himalayas.app/companies/cloudsmiths-co/jobs/n8n-developer	INT	CANDIDATURE_DIRECTE	NON_PUBLIC	Remote Afrique du Sud, n8n dans l intitule, hors zones cibles	2026-08-17	3	Listing Himalayas N8N Developer CloudSmiths 2 days ago
